Date_Processed,SampleID,Trial,#eggs_chamber_1,#eggs_chamber2,total ,fecal_weight,notes,
06/24/18,KOEL29,1,1,2,3,2.02,,
06/24/18,KOEL29,2,5,3,8,2.05,,
06/24/18,AEME35,1,2,4,6,2.06,,
06/24/18,AEME35,2,1,2,3,2.01,,
06/24/18,TRST25,1,0,1,1,2.06,Collar #31754,
06/24/18,TRST25,2,0,0,0,2.06,,
06/24/18,LOAF21,1,3,0,3,2.02,Collar ST2010-2983,
06/24/18,LOAF21,2,5,3,8,2.03,,
06/24/18,PHAF29,1,4,4,8,2.03,,
06/24/18,PHAF29,2,4,4,8,2,,
06/24/18,PHAF28,1,4,10,14,2.01,,
06/24/18,PHAF28,2,8,6,14,2.03,,
06/24/18,OUOU21,1,2,2,4,2.03,,
06/24/18,OUOU21,2,4,6,10,2.01,,
06/24/18,AEME32,1,0,1,1,1.97,,
06/24/18,AEME32,2,0,0,0,2.03,,
06/24/18,EQQU15,1,0,0,0,2.02,,
06/24/18,EQQU15,2,0,0,0,1.99,,
06/24/18,OUOU20,1,5,12,17,0.82,11mL,
06/24/18,TRST24,1,0,0,0,2,Collar #31465,
06/24/18,TRST24,2,0,0,0,2.02,,
06/24/18,AEME31,1,2,4,6,2,,
06/24/18,AEME31,2,4,3,7,2,,
06/24/18,EQQU12,1,0,0,0,2.02,,
06/24/18,EQQU12,2,0,0,0,1.98,,
06/24/18,OUOU22,1,3,2,5,2.02,,
06/24/18,OUOU22,2,1,2,3,2,,
06/24/18,LOAF22,1,6,3,9,1.98,Collar ST2010-2982,
06/24/18,LOAF22,2,6,2,8,2.01,,
06/24/18,TRST23,1,0,0,0,2,Collar #31460,
06/24/18,TRST23,2,0,0,0,2.03,,
06/25/18,LOAF24,1,18,6,24,1.98,Collar ST2010-2984,
06/25/18,LOAF24,2,11,8,19,2.01,,
06/25/18,AEME30,1,1,0,1,2.01,,
06/25/18,AEME30,2,0,0,0,2.05,,
06/25/18,REAR24,1,3,5,8,2.02,,
06/25/18,REAR24,2,1,2,3,2.05,,
06/25/18,KOEL28,1,0,2,2,2,,
06/25/18,KOEL28,2,0,1,1,2.05,,
06/25/18,AEME34,1,0,1,1,1.95,,
06/25/18,AEME34,2,1,0,1,2.02,,
06/25/18,AEME33,1,2,4,6,1.99,,
06/25/18,AEME33,2,2,1,3,2.05,,
06/25/18,REAR25,1,2,3,5,1.95,,
06/25/18,REAR25,2,5,3,8,1.99,,
06/25/18,KOEL31,1,0,2,2,2.05,,
06/25/18,KOEL31,2,3,1,4,2.04,,
06/25/18,TRST32,1,0,0,0,2.05,Collar #31466,
06/25/18,TRST32,2,0,0,0,2.01,,
06/25/18,TRST31,1,0,0,0,2.02,Collar #31757,
06/25/18,TRST31,2,0,1,1,2,,
06/25/18,OUOU24,1,0,1,1,2.01,,
06/25/18,OUOU24,2,6,3,9,2.02,,
06/25/18,TRAN21,1,0,0,0,2,Collar #31773,
06/25/18,TRAN21,2,0,0,0,2,,
06/25/18,LOAF25,1,6,4,10,2.07,Collar ST2010-2985,
06/25/18,LOAF25,2,10,5,15,2.08,,
06/30/18,PHAF34,1,3,2,5,2.02,,
06/30/18,PHAF34,2,7,3,10,2.02,,
06/30/18,PHAF30,1,7,4,11,2.02,,
06/30/18,PHAF30,2,1,1,2,2,,
06/30/18,REAR27,1,2,2,4,2.02,,
06/30/18,REAR27,2,0,1,1,1.99,,
06/30/18,PHAF32,1,2,4,6,2.04,,
06/30/18,PHAF32,2,8,3,11,2.03,,
06/30/18,AEME41,1,3,2,5,1.98,,
06/30/18,AEME41,2,0,0,0,1.39,19mL,
06/30/18,TRAN21,1,0,0,0,2,Collar #31770,
06/30/18,TRAN21,2,0,0,0,2.02,,
06/30/18,TRSC20,1,0,0,0,2.05,Collar #31759,
06/30/18,TRSC20,2,0,0,0,1.95,,
06/30/18,REAR30,1,0,6,6,1.96,"Think so, labelled 29",
06/30/18,OUOU26,1,3,2,5,1.99,,
06/30/18,OUOU26,2,4,1,5,2.02,,
06/30/18,PHAF40,1,1,0,1,1.94,,
06/30/18,PHAF40,2,0,2,2,2.01,,
06/30/18,OUOU30,1,24,23,47,2.01,,
06/30/18,OUOU30,2,25,20,45,1.96,,
06/30/18,AEME40,1,0,0,0,2.02,,
06/30/18,AEME40,2,0,0,0,1.98,,
06/30/18,OUOU27,1,12,14,26,2.06,,
06/30/18,OUOU27,2,15,17,32,1.98,,
06/30/18,PHAF38,1,3,4,7,2.05,,
