"ID","EPG","fire","tree","river","road","urema","term100","term250","pan100","pan250","panlg100","panlg250"
"17_PHAF03",295.560222338892,-0.451646327972412,0.0764277800917625,-0.739134132862091,-1.07653558254242,-0.0742089003324509,1.17977809906006,1.22951507568359,-0.120975404977798,0.0326729267835617,-0.0931912958621979,-0.15264618396759
"17_OUOU03",864.17434846933,-0.783900797367096,-1.60803246498108,0.110401749610901,-1.05622184276581,-0.147080436348915,-0.437156617641449,-0.253551453351974,0.28532537817955,1.04756724834442,-0.0931912958621979,0.99789947271347
"17_AEME11",295.647655217783,-1.17417860031128,-0.912138640880585,-0.146464332938194,-1.06850159168243,-1.20691871643066,-0.664758205413818,-0.238841399550438,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_AEME12",267.001789731212,-1.1742000579834,-0.86169022321701,-0.147329866886139,-1.06422555446625,-1.20723295211792,-0.743199288845062,-0.259626686573029,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL04",984.242424242424,-1.44213044643402,-0.691892683506012,-0.448750793933868,-1.02585411071777,-1.31663274765015,-0.8901407122612,-1.01559209823608,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL05",0,-1.45414757728577,-0.459898263216019,-0.435579657554626,-1.02854490280151,-1.31185233592987,-0.8901407122612,-1.01199114322662,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL06",71.4285714285714,-0.87252402305603,-0.541187405586243,-0.0639628320932388,-1.06192600727081,-1.02003300189972,-0.155945509672165,-0.284795790910721,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL07",474.479104773222,-1.32238876819611,-0.736495733261108,-1.26109969615936,-1.04552733898163,-0.708019077777863,-0.8901407122612,-0.996330559253693,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL08",81.7351764340956,-1.04093337059021,-0.701682865619659,-0.849850416183472,-1.06471621990204,-0.91609400510788,-0.0166305638849735,-0.315497875213623,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_AEME13",69.0974788535764,-1.32404863834381,-0.718751192092896,-1.22590923309326,-1.06872498989105,-0.595532178878784,-0.292353391647339,-0.421617835760117,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL09",275.418075276087,0.949741244316101,0.501112580299377,0.0284241940826178,-1.07040727138519,0.542629957199097,-0.453290551900864,-0.319500148296356,-0.120975404977798,0.195586979389191,-0.0931912958621979,-0.15264618396759
"17_AEME14",0,-0.840013802051544,-0.547898590564728,0.0612076595425606,-1.04820883274078,-1.09398877620697,-0.306572794914246,0.0423156656324863,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_PHAF04",1001.2501714628,-0.441892236471176,-0.633724212646484,-0.771929025650024,-1.05027914047241,-0.0265662651509047,0.568084299564362,0.933809638023376,-0.120975404977798,-0.131447911262512,-0.0931912958621979,-0.15264618396759
"17_PHAF05",679.023569023569,-0.442095398902893,-0.643649041652679,-0.771197021007538,-1.0508908033371,-0.0268375668674707,0.587056398391724,0.937097072601318,-0.120975404977798,-0.131447911262512,-0.0931912958621979,-0.15264618396759
"17_KOEL10",252.434999597521,-0.665138006210327,-0.912889301776886,0.11479789018631,-1.05498862266541,-0.114530548453331,0.297070175409317,-0.273400038480759,2.14710879325867,1.05842816829681,1.87861144542694,1.04843580722809
"17_AEME15",300.487804878049,-1.20174169540405,-0.677735865116119,-0.861973941326141,-1.06801927089691,-0.660424828529358,-0.6666499376297,-0.470006316900253,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL11",299.092771436933,-1.20934414863586,-0.826416075229645,-0.869494676589966,-1.07089149951935,-0.661102950572968,-0.68632960319519,-0.466517001390457,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_PHAF06",694.321279600618,-1.38199985027313,-0.76535564661026,-1.03799116611481,-1.05635631084442,-0.82621705532074,-0.850703358650208,-0.895944595336914,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_PHAF07",989.89898989899,-1.36339426040649,-0.796246767044067,-1.0371732711792,-1.0331426858902,-0.825335562229156,-0.750135004520416,-0.850391209125519,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_PHAF08",92.4092409240924,-1.28970158100128,-0.796246767044067,-1.02194857597351,-1.05540239810944,-0.860819697380066,-0.87867659330368,-0.975736200809479,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_PHAF09",231.056910569106,-1.1595778465271,-0.796246767044067,-1.12850654125214,-1.07060050964355,-0.579659819602966,-0.289488941431046,-0.36265441775322,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_AEME16",0,-1.2467737197876,-0.692996740341187,-0.86872798204422,-1.06341636180878,-0.537562310695648,-0.834527194499969,-0.759871482849121,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_KOEL12",437.584934964085,-0.918567836284637,-0.518096089363098,-1.11582899093628,-1.06023299694061,-0.340632319450378,-0.8901407122612,-1.03452837467194,-0.120975404977798,-0.17851197719574,-0.0931912958621979,-0.15264618396759
"17_PHAF10",1472.27642276423,-0.901042640209198,-1.62493586540222,0.436298072338104,-1.06479036808014,-0.316591292619705,-0.596347153186798,-0.217044100165367,-0.120975404977798,0.0302593801170588,-0.0931912958621979,-0.15264618396759
